Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils
TCGA-FP-7998-01A-11R-2203-13	0.073623618	0	0.035905597	0.243880692	0	0.109846562	0.126921994	0.027203324	0.016610857	0	0.036512848	0	0	0.093843565	0.082541141	0.091997119	0.00669814	0.002095416	0.052319127	0	0	0
TCGA-D7-8570-01A-11R-2343-13	0.118531654	0	0.061720096	0.083745218	0	0.168497411	0.053529258	0.051016748	0.045107186	0	0	0.032220885	0.002623864	0.13793073	0.050673498	0.103391827	0.070482828	0	0.020520584	0	0	8.21E-06
TCGA-CG-4469-01A-01R-1157-13	0.038087585	0	0.003800929	0	0	0.214153386	0.015703642	0.023454852	0	0.013832277	0.000899698	0	0	0.062289826	0.049521312	0.300638009	0.058229833	0.036321754	0	0.09683412	0	0.086232777
TCGA-BR-6455-01A-11R-1802-13	0.089129547	0	0.001458133	0.326583152	0	0.062851615	0.057821176	0.044094543	0.040639614	0	0.012798303	0	0.035093854	0.108070371	0.093568083	0.107088853	0.011516628	0	0	0.009286128	0	0
TCGA-VQ-A8P5-01A-11R-A39E-31	0.116626373	0	0.058930544	0.092587059	0	0.164877144	0.066510479	0.04056556	0.028891311	0	0.025843119	0	0	0.150607523	0.089365862	0.112563168	0.000587486	0	0.017842126	0	0	0.034202244
TCGA-CD-8534-01A-11R-2343-13	0.131484184	0	0.047233893	0.07232228	0	0.224094985	0	0	0.063889709	0	0	0.006254691	0	0.120207765	0.097855921	0.138216947	0.045829208	0	0.052610416	0	0	0
TCGA-D7-5577-01A-01R-1602-13	0.104120339	0	0.024887354	0.215598006	0	0.056222993	0.117840431	0.027375947	0.045622624	0	0.043938977	0	0.001818109	0.08013286	0.103271865	0.158798057	0.006705677	0.001848919	0.004270249	0.002532763	0	0.005014831
TCGA-BR-4257-01A-01R-1131-13	0.014911672	0	0.000424265	0.101065221	0	0.121645411	0.152628189	0.01841714	0.001701154	0	0.073685573	0	0	0.173206117	0.054446961	0.183445859	0.024070235	0	0.003309887	0	0.006730302	0.070312014
TCGA-CG-4460-01A-01R-1157-13	0.108444721	0	0.082069029	0.048266596	0	0.18899793	0.030748756	0.03289543	0.014639535	0	0.027676406	0	0	0.093306921	0.069840737	0.140713209	0.013611175	0	0	0.091301907	0.035486713	0.022000934
TCGA-BR-7901-01A-11R-2203-13	0.047986476	0	0.005200443	0.098001366	0	0.182143921	0	0.022071563	0.062010716	0	0	0.011834359	0	0.319134593	0.098556794	0.118277324	0.004609768	0	0	0.024133759	0	0.006038916
TCGA-CG-5722-01A-21R-1602-13	0.111285034	0	0.071674476	0.241552443	0	0.09732294	0.035047082	0.105839021	0.050945275	0	0	0.049393573	0.005544145	0.029165992	0.070923926	0.034334993	0.032822145	0.019121813	0.03288938	0	0.012137763	0
TCGA-BR-8295-01A-11R-2343-13	0.359219522	0	0.104697048	0.053177903	0	0.096469843	0	0.061691321	0.020039139	0	0	0.010841537	0	0.184616279	0.056690922	0.037788083	0.004830492	0	0.009937909	0	0	0
TCGA-BR-A4J7-01A-31R-A251-31	0.070872311	0	0.008714718	0.323096046	0	0.204677018	0.052917596	0.031259206	0.040282853	0	0	0.038846236	0.028285185	0.025315405	0.089473953	0.058311736	0.010398481	0	0.017549255	0	0	0
TCGA-CG-5734-01A-11R-1602-13	0.062280934	0	0.099020921	0.065142242	0	0.199569854	0.090726011	0.013371006	0.036090148	0	0.014227485	0	0	0.249273291	0.065595839	0.052060064	0.015833596	0	0.001169696	0.001007729	0	0.034631183
TCGA-VQ-A91V-01A-11R-A414-31	0.254992927	0	0.066011776	0.10928273	0	0.264244738	0	0.002818882	0.00552281	0	0.005729501	0.01993507	0.017817097	0.036440045	0.037548912	0.093574694	0	0.031153435	0.038287729	0	0	0.016639654
TCGA-FP-8209-01A-11R-2343-13	0.303700764	0	0	0.174091408	0	0.207587289	0.023706714	0	0.070116359	0	0	0.005995908	0.004675813	0.065638843	0.028273903	0.067078586	0	0.016709362	0.031026791	0	0	0.001398261
TCGA-HU-A4G8-01A-11R-A251-31	0.077669392	0.067364235	0	0.093829174	0	0.222199308	0.11480174	0.089425069	0	0	0.002148862	0	0	0.133447282	0.102749123	0.086797129	0	0.005161954	0	0	0.004406732	0
